file_identifier;key;value
f6e10434be27b8c502e1e70a5937c904;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13554-AVIS-SOC-GLASSDOOR-E855284_P1.html
f6e10434be27b8c502e1e70a5937c904;file_pattern;*AVIS-SOC*
14559f98b64d69d3b78494a6f8c9f4d5;file_size;396.94 Ko
14559f98b64d69d3b78494a6f8c9f4d5;file_name;13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
14559f98b64d69d3b78494a6f8c9f4d5;import_date;29/04/2023 18:55:04
14559f98b64d69d3b78494a6f8c9f4d5;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
14559f98b64d69d3b78494a6f8c9f4d5;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
14559f98b64d69d3b78494a6f8c9f4d5;file_pattern;*AVIS-SOC*
bdf6045427a6754d91f6c448e2da1015;file_size;399.47 Ko
bdf6045427a6754d91f6c448e2da1015;file_name;13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
bdf6045427a6754d91f6c448e2da1015;import_date;29/04/2023 18:55:04
bdf6045427a6754d91f6c448e2da1015;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
bdf6045427a6754d91f6c448e2da1015;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
bdf6045427a6754d91f6c448e2da1015;file_pattern;*AVIS-SOC*
71f39f403bea3faa4085a2e602f934a7;file_size;272.55 Ko
71f39f403bea3faa4085a2e602f934a7;file_name;13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
71f39f403bea3faa4085a2e602f934a7;import_date;29/04/2023 18:55:04
